Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review status,Reviewed by,Reviewed at,Project path
,1c0cbb4b-eadd-48d1-b4ba-07de4d4efb6b,fbde2dbd-b37b-4240-aaaf-b005c335f068,lpanel,lpanel-20060506-b,,39692bc6-4d1c-4466-a02c-fa6f21170587,GNU General Public License v2.0 or later,RECIPROCAL,Files Modified,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,2/6/18,,,NOT_REVIEWED,,,WebFundamentals 1.0.0
,c50b5769-6437-478e-bf6b-5867899511b8,959058a1-d9da-4d7f-9993-611e5b85a89c,dash-checkbox,1.0.0,,3d238144-44e6-450e-b523-3defbdaed9dc,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,2/6/18,,,NOT_REVIEWED,,,WebFundamentals 1.0.0
,e4519f29-73c6-45e3-80b0-e5e8647ed277,c9756b91-c82e-44e7-842f-1e1f9fc327a2,jQuery,2.1.1,,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Exact,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,2/6/18,,,NOT_REVIEWED,,,WebFundamentals 1.0.0
